hhid,hh_age,hh_race_sep,hh_race
191016326,Household age 35-64,White,White
191016341,Household age 65+,Asian,Asian
191016359,Household age 35-64,White,White
191016384,Household excl. age 18-34,White,White
191016398,Household age 35-64,White,White
191016402,Household with children,Other,Other
191016491,Household with children,Non-Asian POC,Non-Asian POC
191016494,Household age 35-64,Asian,Asian
191016499,Household age 65+,White,White
191016520,Household excl. age 18-34,White,White
191016528,Household age 65+,White,White
191016539,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191016546,Household excl. age 18-34,White,White
191016664,Household age 65+,White,White
191016683,Household with children,White,White
191016701,Household excl. age 18-34,White,White
191016711,Household age 35-64,White,White
191016713,Household excl. age 18-34,White,White
191016731,Household age 35-64,White,White
191016767,Household age 35-64,White,White
191016779,Household age 35-64,White,White
191016789,Household age 35-64,Asian,Asian
191016790,Household age 35-64,Non-Asian POC,Non-Asian POC
191016851,Household excl. age 18-34,White,White
191016852,Household excl. age 18-34,White,White
191016896,Household age 35-64,Non-Asian POC,Non-Asian POC
191016902,Household age 35-64,White,White
191016937,Household age 65+,Asian,Asian
191016962,Household age 35-64,White,White
191017017,Household excl. age 18-34,White,White
191017027,Household age 35-64,Non-Asian POC,Non-Asian POC
191017044,Household age 35-64,Asian,Asian
191017055,Household age 35-64,Non-Asian POC,Non-Asian POC
191017083,Household age 35-64,White,White
191017090,Household excl. age 18-34,White,White
191017095,Household excl. age 18-34,White,White
191017106,Household age 35-64,White,White
191017116,Household age 35-64,Non-Asian POC,Non-Asian POC
191017190,Household excl. age 18-34,White,White
191017227,Household excl. age 18-34,Asian,Asian
191017238,Household excl. age 18-34,Other,Other
191017248,Household age 35-64,Non-Asian POC,Non-Asian POC
191017265,Household excl. age 18-34,White,White
191017277,Household age 35-64,White,White
191017302,Household excl. age 18-34,White,White
191017305,Household age 35-64,White,White
191017347,Household excl. age 18-34,Other,Other
191017353,Household age 35-64,White,White
191017361,Household excl. age 18-34,Other,Other
191017364,Household age 35-64,White,White
191017370,Household excl. age 18-34,Asian,Asian
191017385,Household age 35-64,Asian,Asian
191017408,Household with children,White,White
191017410,Household age 35-64,White,White
191017418,Household age 35-64,White,White
191017474,Household age 35-64,White,White
191017483,Household excl. age 18-34,White,White
191017489,Household excl. age 18-34,Asian,Asian
191017517,Household age 35-64,Asian,Asian
191017556,Household with children,White,White
191017570,Household excl. age 18-34,White,White
191017573,Household excl. age 18-34,Other,Other
191017590,Household with children,Asian,Asian
191017603,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191017697,Household age 35-64,White,White
191017715,Household age 35-64,Non-Asian POC,Non-Asian POC
191017723,Household age 35-64,Non-Asian POC,Non-Asian POC
191017751,Household age 35-64,White,White
191017778,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191017828,Household excl. age 18-34,White,White
191017842,Household age 35-64,White,White
191017900,Household with children,Other,Other
191017909,Household age 35-64,Other,Other
191017937,Household age 35-64,Other,Other
191017940,Household excl. age 18-34,White,White
191017946,Household excl. age 18-34,White,White
191017970,Household age 65+,White,White
191017974,Household with children,Non-Asian POC,Non-Asian POC
191017994,Household with children,Non-Asian POC,Non-Asian POC
191018006,Household age 65+,White,White
191018007,Household excl. age 18-34,Asian,Asian
191018009,Household excl. age 18-34,Asian,Asian
191018015,Household age 65+,White,White
191018019,Household age 35-64,White,White
191018034,Household age 35-64,Asian,Asian
191018044,Household age 35-64,White,White
191018061,Household age 35-64,White,White
191018091,Household excl. age 18-34,White,White
191018105,Household with children,White,White
191018168,Household age 35-64,White,White
191018180,Household age 65+,White,White
191018186,Household age 35-64,White,White
191018211,Household excl. age 18-34,White,White
191018227,Household age 35-64,White,White
191018236,Household age 65+,White,White
191018250,Household age 35-64,Non-Asian POC,Non-Asian POC
191018296,Household excl. age 18-34,Asian,Asian
191018307,Household age 35-64,Asian,Asian
191018327,Household age 35-64,White,White
191018358,Household excl. age 18-34,White,White
191018362,Household with children,Other,Other
191018391,Household excl. age 18-34,Asian,Asian
191018404,Household age 35-64,Non-Asian POC,Non-Asian POC
191018423,Household excl. age 18-34,Asian,Asian
191018467,Household excl. age 18-34,White,White
191018471,Household excl. age 18-34,White,White
191018512,Household age 65+,White,White
191018551,Household excl. age 18-34,Asian,Asian
191018566,Household age 35-64,Other,Other
191018571,Household excl. age 18-34,White,White
191018584,Household excl. age 18-34,White,White
191018612,Household excl. age 18-34,White,White
191018626,Household age 65+,White,White
191018660,Household age 35-64,Other,Other
191018670,Household excl. age 18-34,Asian,Asian
191018683,Household excl. age 18-34,White,White
191018692,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191018701,Household age 65+,White,White
191018708,Household excl. age 18-34,White,White
191018724,Household age 35-64,White,White
191018738,Household with children,White,White
191018761,Household age 35-64,White,White
191018769,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191018771,Household age 35-64,Non-Asian POC,Non-Asian POC
191018842,Household excl. age 18-34,White,White
191018844,Household excl. age 18-34,White,White
191018880,Household excl. age 18-34,Asian,Asian
191018888,Household age 65+,White,White
191018889,Household excl. age 18-34,Other,Other
191018890,Household age 35-64,White,White
191018905,Household age 35-64,White,White
191018906,Household age 35-64,Other,Other
191018912,Household excl. age 18-34,White,White
191018938,Household age 35-64,Other,Other
191018968,Household excl. age 18-34,White,White
191019011,Household age 65+,White,White
191019016,Household excl. age 18-34,White,White
191019044,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191019077,Household age 35-64,White,White
191019093,Household age 35-64,White,White
191019102,Household age 35-64,Other,Other
191019104,Household age 35-64,White,White
191019134,Household excl. age 18-34,White,White
191019138,Household with children,White,White
191019175,Household age 35-64,White,White
191019203,Household with children,Non-Asian POC,Non-Asian POC
191019214,Household with children,Non-Asian POC,Non-Asian POC
191019248,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191019257,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191019281,Household age 35-64,Other,Other
191019307,Household age 35-64,White,White
191019311,Household excl. age 18-34,White,White
191019316,Household age 65+,White,White
191019330,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191019337,Household age 35-64,White,White
191019405,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191019435,Household age 65+,White,White
191019454,Household age 35-64,White,White
191019480,Household excl. age 18-34,White,White
191019490,Household excl. age 18-34,White,White
191019503,Household age 35-64,White,White
191019514,Household age 35-64,Non-Asian POC,Non-Asian POC
191019520,Household excl. age 18-34,Asian,Asian
191019531,Household excl. age 18-34,White,White
191019614,Household age 35-64,White,White
191019618,Household excl. age 18-34,White,White
191019621,Household excl. age 18-34,White,White
191019648,Household excl. age 18-34,White,White
191019669,Household age 35-64,White,White
191019684,Household age 35-64,White,White
191019688,Household age 35-64,Non-Asian POC,Non-Asian POC
191019708,Household age 35-64,White,White
191019712,Household age 35-64,White,White
191019725,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191019726,Household excl. age 18-34,White,White
191019806,Household with children,White,White
191019847,Household with children,White,White
191019866,Household age 65+,White,White
191019885,Household age 35-64,White,White
191019900,Household age 65+,White,White
191019906,Household age 35-64,Asian,Asian
191019946,Household with children,Other,Other
191019953,Household age 35-64,White,White
191019965,Household excl. age 18-34,Other,Other
191019974,Household age 35-64,White,White
191019980,Household excl. age 18-34,White,White
191019998,Household excl. age 18-34,White,White
191020003,Household with children,White,White
191020011,Household age 65+,White,White
191020013,Household excl. age 18-34,White,White
191020022,Household age 65+,White,White
191020031,Household age 35-64,White,White
191020034,Household excl. age 18-34,White,White
191020057,Household with children,White,White
191020073,Household excl. age 18-34,White,White
191020084,Household excl. age 18-34,White,White
191020089,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191020113,Household age 35-64,White,White
191020136,Household age 65+,Non-Asian POC,Non-Asian POC
191020140,Household age 65+,Non-Asian POC,Non-Asian POC
191020154,Household excl. age 18-34,White,White
191020204,Household excl. age 18-34,Other,Other
191020228,Household excl. age 18-34,Other,Other
191020276,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191020299,Household age 65+,Asian,Asian
191020340,Household age 35-64,White,White
191020412,Household age 35-64,Non-Asian POC,Non-Asian POC
191020414,Household age 65+,White,White
191020415,Household age 35-64,White,White
191020424,Household excl. age 18-34,Other,Other
191020445,Household excl. age 18-34,Asian,Asian
191020451,Household age 35-64,Asian,Asian
191020453,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191020463,Household excl. age 18-34,Other,Other
191020466,Household age 35-64,White,White
191020566,Household age 35-64,White,White
191020573,Household age 35-64,White,White
191020578,Household age 35-64,Non-Asian POC,Non-Asian POC
191020612,Household with children,Non-Asian POC,Non-Asian POC
191020620,Household age 65+,White,White
191020627,Household age 65+,Non-Asian POC,Non-Asian POC
191020663,Household age 35-64,White,White
191020714,Household age 65+,Other,Other
191020747,Household excl. age 18-34,White,White
191020757,Household age 65+,White,White
191020788,Household with children,White,White
191020816,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191020830,Household excl. age 18-34,White,White
191020847,Household with children,Asian,Asian
191020877,Household age 65+,White,White
191020918,Household excl. age 18-34,White,White
191020970,Household with children,Asian,Asian
191020991,Household age 65+,White,White
191021007,Household with children,White,White
191021078,Household age 35-64,White,White
191021120,Household age 35-64,White,White
191021136,Household with children,White,White
191021141,Household with children,Other,Other
191021148,Household age 35-64,White,White
191021160,Household excl. age 18-34,Asian,Asian
191021162,Household excl. age 18-34,White,White
191021175,Household excl. age 18-34,White,White
191021200,Household with children,Asian,Asian
191021250,Household age 35-64,White,White
191021268,Household excl. age 18-34,Asian,Asian
191021279,Household excl. age 18-34,White,White
191021287,Household age 35-64,Other,Other
191021299,Household with children,Other,Other
191021337,Household age 35-64,White,White
191021357,Household excl. age 18-34,Asian,Asian
191021368,Household age 35-64,Non-Asian POC,Non-Asian POC
191021373,Household age 65+,White,White
191021377,Household age 35-64,Other,Other
191021400,Household with children,White,White
191021425,Household age 35-64,White,White
191021441,Household age 65+,White,White
191021465,Household age 65+,White,White
191021466,Household age 35-64,Asian,Asian
191021506,Household age 35-64,Other,Other
191021536,Household age 35-64,White,White
191021542,Household age 65+,White,White
191021574,Household age 35-64,White,White
191021595,Household excl. age 18-34,White,White
191021612,Household age 65+,Asian,Asian
191021617,Household age 35-64,White,White
191021625,Household excl. age 18-34,White,White
191021653,Household age 35-64,White,White
191021665,Household with children,White,White
191021667,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191021706,Household age 65+,White,White
191021777,Household excl. age 18-34,White,White
191021799,Household excl. age 18-34,Other,Other
191021823,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191021827,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191021833,Household age 35-64,White,White
191021845,Household with children,White,White
191021908,Household excl. age 18-34,White,White
191021909,Household age 35-64,White,White
191021945,Household age 35-64,White,White
191021959,Household age 35-64,White,White
191021969,Household excl. age 18-34,White,White
191022004,Household excl. age 18-34,White,White
191022012,Household age 65+,White,White
191022013,Household age 35-64,Asian,Asian
191022036,Household excl. age 18-34,Other,Other
191022039,Household with children,White,White
191022058,Household with children,Asian,Asian
191022076,Household age 65+,White,White
191022080,Household age 35-64,White,White
191022097,Household age 35-64,White,White
191022098,Household age 35-64,Non-Asian POC,Non-Asian POC
191022143,Household age 35-64,White,White
191022158,Household excl. age 18-34,White,White
191022171,Household with children,White,White
191022178,Household excl. age 18-34,Other,Other
191022185,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191022220,Household age 35-64,Asian,Asian
191022248,Household with children,Non-Asian POC,Non-Asian POC
191022275,Household excl. age 18-34,White,White
191022276,Household age 35-64,Asian,Asian
191022287,Household excl. age 18-34,White,White
191022301,Household excl. age 18-34,Asian,Asian
191022317,Household excl. age 18-34,White,White
191022414,Household age 35-64,Other,Other
191022445,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191022461,Household excl. age 18-34,White,White
191022473,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191022520,Household excl. age 18-34,Other,Other
191022560,Household age 65+,White,White
191022577,Household excl. age 18-34,White,White
191022578,Household age 65+,White,White
191022628,Household excl. age 18-34,White,White
191022629,Household age 65+,White,White
191022690,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191022717,Household excl. age 18-34,Asian,Asian
191022738,Household age 35-64,Non-Asian POC,Non-Asian POC
191022753,Household age 35-64,White,White
191022800,Household with children,Other,Other
191022809,Household excl. age 18-34,White,White
191022830,Household excl. age 18-34,White,White
191022844,Household excl. age 18-34,Asian,Asian
191022879,Household with children,White,White
191022881,Household age 35-64,White,White
191022888,Household age 35-64,Asian,Asian
191022905,Household excl. age 18-34,White,White
191022951,Household age 65+,Other,Other
191022964,Household age 35-64,White,White
191022969,Household age 35-64,White,White
191023011,Household excl. age 18-34,Asian,Asian
191023013,Household age 35-64,White,White
191023021,Household age 35-64,Other,Other
191023043,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191023056,Household with children,White,White
191023063,Household age 35-64,Non-Asian POC,Non-Asian POC
191023083,Household age 65+,White,White
191023095,Household age 35-64,White,White
191023147,Household age 35-64,Non-Asian POC,Non-Asian POC
191023167,Household age 65+,Other,Other
191023218,Household excl. age 18-34,White,White
191023222,Household age 35-64,Other,Other
191023275,Household age 65+,White,White
191023302,Household age 35-64,Non-Asian POC,Non-Asian POC
191023315,Household age 65+,White,White
191023318,Household excl. age 18-34,White,White
191023322,Household age 35-64,White,White
191023336,Household age 35-64,Other,Other
191023354,Household age 35-64,White,White
191023357,Household with children,White,White
191023398,Household age 35-64,White,White
191023458,Household age 65+,White,White
191023474,Household age 65+,White,White
191023529,Household age 35-64,White,White
191023568,Household age 35-64,White,White
191023584,Household excl. age 18-34,Other,Other
191023625,Household age 35-64,White,White
191023665,Household age 65+,White,White
191023731,Household age 35-64,Non-Asian POC,Non-Asian POC
191023742,Household age 35-64,White,White
191023749,Household age 65+,Non-Asian POC,Non-Asian POC
191023777,Household age 65+,White,White
191023814,Household age 35-64,Non-Asian POC,Non-Asian POC
191023824,Household age 35-64,White,White
191023828,Household age 35-64,Asian,Asian
191023840,Household age 35-64,Asian,Asian
191023849,Household excl. age 18-34,Other,Other
191023895,Household age 65+,White,White
191023904,Household age 35-64,White,White
191023989,Household age 35-64,White,White
191024023,Household age 35-64,White,White
191024054,Household excl. age 18-34,Asian,Asian
191024064,Household age 35-64,White,White
191024077,Household excl. age 18-34,White,White
191024103,Household age 35-64,Asian,Asian
191024167,Household excl. age 18-34,White,White
191024186,Household with children,White,White
191024197,Household age 35-64,Other,Other
191024209,Household age 35-64,White,White
191024225,Household age 35-64,Non-Asian POC,Non-Asian POC
191024231,Household age 35-64,White,White
191024233,Household with children,White,White
191024245,Household with children,White,White
191024279,Household age 35-64,White,White
191024357,Household age 35-64,White,White
191024368,Household age 65+,Other,Other
191024397,Household age 35-64,White,White
191024407,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191024439,Household age 65+,White,White
191024441,Household age 65+,White,White
191024442,Household age 35-64,White,White
191024445,Household age 65+,White,White
191024481,Household age 35-64,Other,Other
191024522,Household excl. age 18-34,White,White
191024526,Household age 35-64,Non-Asian POC,Non-Asian POC
191024546,Household age 65+,White,White
191024553,Household with children,Other,Other
191024571,Household excl. age 18-34,White,White
191024604,Household excl. age 18-34,White,White
191024608,Household with children,White,White
191024610,Household age 35-64,White,White
191024644,Household age 65+,White,White
191024648,Household age 35-64,White,White
191024670,Household age 35-64,White,White
191024673,Household age 35-64,White,White
191024690,Household excl. age 18-34,Other,Other
191024707,Household excl. age 18-34,Asian,Asian
191024725,Household excl. age 18-34,White,White
191024736,Household age 35-64,Non-Asian POC,Non-Asian POC
191024809,Household age 35-64,Other,Other
191024839,Household excl. age 18-34,White,White
191024849,Household excl. age 18-34,White,White
191024876,Household excl. age 18-34,Asian,Asian
191024898,Household age 35-64,White,White
191024918,Household age 35-64,Non-Asian POC,Non-Asian POC
191024929,Household excl. age 18-34,White,White
191024937,Household age 35-64,White,White
191024961,Household age 35-64,Non-Asian POC,Non-Asian POC
191024974,Household excl. age 18-34,White,White
191024980,Household excl. age 18-34,White,White
191025006,Household excl. age 18-34,White,White
191025012,Household excl. age 18-34,Other,Other
191025033,Household with children,White,White
191025047,Household age 35-64,White,White
191025065,Household excl. age 18-34,White,White
191025108,Household age 35-64,White,White
191025168,Household excl. age 18-34,White,White
191025169,Household age 35-64,White,White
191025171,Household age 65+,Non-Asian POC,Non-Asian POC
191025234,Household excl. age 18-34,White,White
191025291,Household age 65+,White,White
191025304,Household excl. age 18-34,Other,Other
191025312,Household age 35-64,White,White
191025321,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191025337,Household excl. age 18-34,White,White
191025355,Household excl. age 18-34,White,White
191025371,Household with children,Asian,Asian
191025396,Household with children,White,White
191025427,Household age 35-64,Non-Asian POC,Non-Asian POC
191025431,Household with children,White,White
191025447,Household with children,White,White
191025473,Household age 35-64,Non-Asian POC,Non-Asian POC
191025482,Household with children,White,White
191025494,Household age 35-64,White,White
191025499,Household excl. age 18-34,White,White
191025513,Household age 35-64,Other,Other
191025546,Household age 35-64,Asian,Asian
191025567,Household excl. age 18-34,White,White
191025627,Household age 35-64,White,White
191025647,Household excl. age 18-34,White,White
191025657,Household age 65+,White,White
191025738,Household age 35-64,Other,Other
191025769,Household age 35-64,White,White
191025816,Household age 65+,White,White
191025844,Household age 35-64,Other,Other
191025848,Household age 65+,White,White
191025851,Household with children,White,White
191025858,Household age 65+,White,White
191025875,Household excl. age 18-34,White,White
191026005,Household with children,White,White
191026011,Household age 65+,White,White
191026014,Household excl. age 18-34,Other,Other
191026034,Household age 35-64,Non-Asian POC,Non-Asian POC
191026053,Household excl. age 18-34,Asian,Asian
191026055,Household age 35-64,Asian,Asian
191026063,Household age 35-64,White,White
191026158,Household excl. age 18-34,White,White
191026186,Household age 35-64,Non-Asian POC,Non-Asian POC
191026188,Household age 65+,White,White
191026323,Household excl. age 18-34,White,White
191026332,Household age 65+,White,White
191026353,Household age 35-64,Other,Other
191026358,Household with children,White,White
191026369,Household age 35-64,White,White
191026372,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191026390,Household excl. age 18-34,White,White
191026405,Household age 35-64,White,White
191026431,Household age 35-64,White,White
191026521,Household age 35-64,Other,Other
191026550,Household age 35-64,White,White
191026574,Household age 35-64,Non-Asian POC,Non-Asian POC
191026610,Household age 35-64,White,White
191026612,Household age 65+,Non-Asian POC,Non-Asian POC
191026618,Household excl. age 18-34,White,White
191026636,Household excl. age 18-34,Asian,Asian
191026667,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191026689,Household with children,Asian,Asian
191026691,Household age 65+,White,White
191026699,Household age 35-64,Asian,Asian
191026707,Household excl. age 18-34,White,White
191026721,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191026725,Household age 65+,White,White
191026734,Household excl. age 18-34,Asian,Asian
191026746,Household age 65+,White,White
191026749,Household age 65+,White,White
191026766,Household age 65+,White,White
191026775,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191026791,Household excl. age 18-34,Asian,Asian
191026798,Household with children,White,White
191026912,Household excl. age 18-34,White,White
191026913,Household age 35-64,Other,Other
191026918,Household age 65+,White,White
191026919,Household with children,Non-Asian POC,Non-Asian POC
191026924,Household with children,Asian,Asian
191026940,Household age 35-64,Asian,Asian
191026969,Household age 35-64,White,White
191026972,Household age 65+,White,White
191027022,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191027052,Household age 65+,White,White
191027061,Household with children,Non-Asian POC,Non-Asian POC
191027069,Household age 35-64,White,White
191027076,Household with children,White,White
191027134,Household age 65+,White,White
191027144,Household age 65+,White,White
191027188,Household age 35-64,White,White
191027189,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191027212,Household excl. age 18-34,White,White
191027230,Household age 35-64,White,White
191027280,Household excl. age 18-34,Other,Other
191027286,Household excl. age 18-34,Other,Other
191027291,Household excl. age 18-34,White,White
191027319,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191027328,Household age 35-64,White,White
191027332,Household with children,White,White
191027358,Household age 35-64,Asian,Asian
191027432,Household excl. age 18-34,Asian,Asian
191027444,Household age 65+,White,White
191027458,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191027464,Household age 35-64,Other,Other
191027468,Household age 35-64,Asian,Asian
191027486,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191027501,Household age 35-64,White,White
191027530,Household age 65+,White,White
191027542,Household with children,White,White
191027566,Household excl. age 18-34,White,White
191027609,Household age 35-64,White,White
191027724,Household with children,White,White
191027775,Household with children,Asian,Asian
191027780,Household excl. age 18-34,White,White
191027791,Household excl. age 18-34,White,White
191027792,Household age 35-64,Asian,Asian
191027793,Household age 35-64,White,White
191027811,Household age 35-64,White,White
191027815,Household age 65+,White,White
191027820,Household excl. age 18-34,White,White
191027830,Household age 35-64,White,White
191027849,Household excl. age 18-34,White,White
191027920,Household age 35-64,Non-Asian POC,Non-Asian POC
191027932,Household excl. age 18-34,Asian,Asian
191027978,Household age 65+,White,White
191028014,Household age 35-64,Non-Asian POC,Non-Asian POC
191028015,Household age 35-64,White,White
191028043,Household age 35-64,White,White
191028044,Household age 35-64,Asian,Asian
191028049,Household excl. age 18-34,White,White
191028058,Household excl. age 18-34,White,White
191028080,Household age 35-64,Non-Asian POC,Non-Asian POC
191028094,Household with children,White,White
191028119,Household age 35-64,White,White
191028143,Household excl. age 18-34,White,White
191028154,Household age 35-64,White,White
191028190,Household excl. age 18-34,Other,Other
191028205,Household age 35-64,Asian,Asian
191028290,Household excl. age 18-34,Asian,Asian
191028301,Household excl. age 18-34,Other,Other
191028308,Household age 65+,White,White
191028327,Household age 35-64,Asian,Asian
191028380,Household age 35-64,White,White
191028384,Household age 35-64,White,White
191028394,Household excl. age 18-34,Asian,Asian
191028411,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191028445,Household age 35-64,Non-Asian POC,Non-Asian POC
191028446,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191028447,Household age 35-64,White,White
191028450,Household excl. age 18-34,White,White
191028451,Household age 65+,White,White
191028461,Household excl. age 18-34,Other,Other
191028495,Household age 65+,Non-Asian POC,Non-Asian POC
191028508,Household age 35-64,White,White
191028548,Household age 65+,Non-Asian POC,Non-Asian POC
191028557,Household with children,White,White
191028559,Household age 35-64,White,White
191028560,Household age 35-64,Non-Asian POC,Non-Asian POC
191028568,Household age 35-64,Non-Asian POC,Non-Asian POC
191028587,Household age 65+,White,White
191028591,Household age 35-64,Non-Asian POC,Non-Asian POC
191028609,Household excl. age 18-34,White,White
191028611,Household with children,Non-Asian POC,Non-Asian POC
191028634,Household age 35-64,White,White
191028665,Household age 65+,White,White
191028667,Household age 35-64,White,White
191028668,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191028679,Household excl. age 18-34,Asian,Asian
191028706,Household age 65+,White,White
191028715,Household excl. age 18-34,White,White
191028728,Household with children,White,White
191028747,Household age 65+,Non-Asian POC,Non-Asian POC
191028752,Household excl. age 18-34,White,White
191028764,Household age 35-64,White,White
191028803,Household age 65+,White,White
191028804,Household excl. age 18-34,Asian,Asian
191028826,Household age 35-64,White,White
191028857,Household age 65+,Other,Other
191028858,Household age 35-64,White,White
191028870,Household age 65+,White,White
191028898,Household age 65+,White,White
191028907,Household excl. age 18-34,White,White
191028916,Household excl. age 18-34,Asian,Asian
191028917,Household age 35-64,White,White
191028919,Household age 35-64,White,White
191028953,Household excl. age 18-34,White,White
191028956,Household with children,White,White
191028972,Household with children,White,White
191028986,Household age 35-64,White,White
191028989,Household age 35-64,Other,Other
191029021,Household age 65+,White,White
191029035,Household age 65+,White,White
191029037,Household excl. age 18-34,Other,Other
191029044,Household excl. age 18-34,Asian,Asian
191029048,Household excl. age 18-34,White,White
191029117,Household age 35-64,White,White
191029118,Household excl. age 18-34,White,White
191029119,Household age 65+,White,White
191029205,Household with children,Non-Asian POC,Non-Asian POC
191029206,Household age 35-64,White,White
191029221,Household age 35-64,Non-Asian POC,Non-Asian POC
191029227,Household age 35-64,Non-Asian POC,Non-Asian POC
191029275,Household age 35-64,Asian,Asian
191029279,Household age 35-64,White,White
191029288,Household age 65+,White,White
191029312,Household age 35-64,White,White
191029340,Household with children,White,White
191029358,Household with children,White,White
191029363,Household age 65+,White,White
191029383,Household age 35-64,White,White
191029384,Household age 35-64,Non-Asian POC,Non-Asian POC
191029390,Household with children,Asian,Asian
191029407,Household with children,Asian,Asian
191029432,Household excl. age 18-34,White,White
191029456,Household excl. age 18-34,White,White
191029466,Household excl. age 18-34,White,White
191029493,Household age 65+,White,White
191029515,Household age 65+,White,White
191029548,Household excl. age 18-34,White,White
191029580,Household excl. age 18-34,White,White
191029584,Household with children,Asian,Asian
191029599,Household age 65+,White,White
191029647,Household excl. age 18-34,White,White
191029666,Household age 35-64,Asian,Asian
191029682,Household excl. age 18-34,White,White
191029685,Household age 65+,White,White
191029719,Household age 35-64,White,White
191029724,Household age 65+,White,White
191029740,Household with children,Other,Other
191029774,Household age 35-64,White,White
191029827,Household with children,White,White
191029834,Household age 35-64,Asian,Asian
191029880,Household age 65+,White,White
191029890,Household age 35-64,Non-Asian POC,Non-Asian POC
191029902,Household with children,Other,Other
191029904,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191029910,Household age 65+,White,White
191029980,Household age 65+,White,White
191029992,Household excl. age 18-34,White,White
191029993,Household with children,White,White
191029997,Household excl. age 18-34,White,White
191030067,Household excl. age 18-34,White,White
191030097,Household excl. age 18-34,White,White
191030102,Household excl. age 18-34,Asian,Asian
191030105,Household age 35-64,Other,Other
191030124,Household excl. age 18-34,Asian,Asian
191030126,Household age 35-64,White,White
191030131,Household excl. age 18-34,Asian,Asian
191030151,Household excl. age 18-34,Asian,Asian
191030184,Household age 65+,White,White
191030199,Household age 35-64,White,White
191030200,Household excl. age 18-34,White,White
191030229,Household age 35-64,White,White
191030238,Household excl. age 18-34,Asian,Asian
191030256,Household age 65+,White,White
191030276,Household age 65+,Other,Other
191030277,Household excl. age 18-34,White,White
191030302,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191030306,Household excl. age 18-34,White,White
191030316,Household age 35-64,White,White
191030364,Household age 65+,White,White
191030399,Household age 35-64,Other,Other
191030414,Household age 65+,White,White
191030446,Household age 35-64,White,White
191030447,Household age 65+,White,White
191030489,Household age 65+,White,White
191030509,Household age 65+,White,White
191030514,Household excl. age 18-34,Other,Other
191030515,Household excl. age 18-34,White,White
191030519,Household with children,White,White
191030559,Household age 65+,White,White
191030593,Household age 35-64,White,White
191030597,Household with children,Asian,Asian
191030628,Household age 35-64,White,White
191030629,Household age 35-64,Non-Asian POC,Non-Asian POC
191030631,Household age 65+,White,White
191030661,Household age 35-64,White,White
191030668,Household excl. age 18-34,Other,Other
191030701,Household with children,White,White
191030706,Household with children,Non-Asian POC,Non-Asian POC
191030709,Household age 65+,White,White
191030716,Household excl. age 18-34,Other,Other
191030719,Household age 65+,White,White
191030739,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191030748,Household age 35-64,White,White
191030752,Household age 65+,Asian,Asian
191030755,Household age 35-64,White,White
191030844,Household with children,Asian,Asian
191030902,Household age 65+,Other,Other
191030906,Household age 35-64,White,White
191030935,Household with children,White,White
191030989,Household age 35-64,White,White
191030998,Household age 35-64,White,White
191031010,Household excl. age 18-34,White,White
191031011,Household age 35-64,Other,Other
191031025,Household age 35-64,White,White
191031088,Household age 35-64,White,White
191031142,Household age 35-64,White,White
191031156,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191031159,Household excl. age 18-34,Asian,Asian
191031170,Household age 65+,White,White
191031179,Household age 35-64,White,White
191031194,Household age 35-64,White,White
